カテゴリ,施設名,郵便番号,所在地,住所,番地,電話番号,営業者氏名,確認・許可年月日,種別,旧種別,登録期限,保健所,出典ファイル
旅館業,Ｇａｌａｘｙ Ｐｏｏｌ Ｒｅｓｏｒｔ２ 銀河プールリ ゾート２,520-1112,高島市永田,高島市永田１０２番５５,１０２番５５,0740-20-5760,日本大同投資株式会社,R07/10/09,簡易宿所,,,高島,5627924.pdf
旅館業,Ｇａｌａｘｙ Ｐｏｏｌ Ｒｅｓｏｒｔ３ 銀河プールリ ゾート３,520-1112,高島市永田,高島市永田１０２番１９,１０２番１９,0740-20-5760,日本大同投資株式会社,R07/10/09,簡易宿所,,,高島,5627924.pdf
旅館業,ＬＡＫＥ ＳＡＵＮＡ ＲＥＳＯＲＴ ｔａｋａｓｈｉｍａ ＳＵＩＴＥ ＶＩＬＬＡ 惺,520-1121,高島市勝野,高島市勝野５００番地８,５００番地８,,株式会社ｍｉｇｈｔｙ,R07/11/20,簡易宿所,,,高島,5627924.pdf
旅館業,睦屋ライステラス Ｓｈｉｇａ,520-1143,高島市黒谷,高島市黒谷８３２,８３２,,渡辺 竜一,R08/05/01,簡易宿所,,,高島,5627924.pdf
旅館業,ｐａｓｔｏｒａｌｅ,520-1503,高島市新旭町深溝,高島市新旭町深溝４７１－１２,４７１－１２,,株式会社瀧匠,R08/03/03,簡易宿所,,,高島,5627924.pdf
旅館業,ＶＩＬＬＡ ＯＮＥ ＳＯＲＡ,520-1835,高島市マキノ町石庭,高島市マキノ町石庭４４２番５,４４２番５,,株式会社ＲＥＺＥＬ,R08/04/03,簡易宿所,,,高島,5627924.pdf
旅館業,Ｂｉｗａｋｏ Ｖｉｌｌａ 縁,520-1812,高島市マキノ町西浜,高島市マキノ町西浜１３８５－１１,１３８５－１１,,劉 紅旭,R08/02/04,簡易宿所,,,高島,5627924.pdf
旅館業,ＰＯＬＡＲＩＳ,520-1837,高島市マキノ町白谷,高島市マキノ町白谷２７１－１,２７１－１,0740-27-0056,株式会社ゼンゾー,R07/11/05,簡易宿所,,,高島,5627924.pdf
旅館業,和旅－ＷＡＴＡＢＩ－琵琶湖今津,520-1623,高島市今津町住吉二丁 目,高島市今津町住吉二丁 目１－１７,１－１７,,株式会社ＪＲＥＮ,R08/04/28,簡易宿所,,,高島,5627924.pdf
旅館業,Ｓｈｉｇａ Ｌａｋｅｓｉｄｅ Ｌｏｇｈｏｕｓｅ Ｋｉｔ ｏｇｅ２,520-1603,高島市今津町北仰,高島市今津町北仰２１７番３４,２１７番３４,06-6563-9821,株式会社コーナン,R08/04/03,旅館・ホテル,,,高島,5627924.pdf
旅館業,うらら高島,520-1141,高島市高島,高島市高島１２８７－１,１２８７－１,,ディーアンドワイ株式会社,R08/06/01,簡易宿所,,,高島,5627924.pdf
旅館業,ｂｉｗａ ｋｉｔｏｇｅ,520-1603,高島市今津町北仰,高島市今津町北仰８－１,８－１,,ＥＳＫインターナショナル株式会社,R08/02/16,簡易宿所,,,高島,5627924.pdf
旅館業,ｂｅａｕ ｌａｃ ｂｉｗａｋｏ 箱館山,520-1655,高島市今津町日置前,高島市今津町日置前３５４０－７,３５４０－７,,株式会社インスピレーション,R08/01/30,簡易宿所,,,高島,5627924.pdf
旅館業,Ｔａｋａ．Ｓｔａ ＣａｍｐＳｉｔｅ,520-1223,高島市安曇川町下小川,高島市安曇川町下小川２３８２－１４,２３８２－１４,,株式会社Ｃｉｖｉｌ Ａｓｓｉｓｔ,R08/05/19,簡易宿所,,,高島,5627924.pdf
旅館業,ＫＩＺＵＮＡ－絆－,520-1531,高島市新旭町饗庭,高島市新旭町饗庭２０５８,２０５８,,古和 宏臣,R08/04/23,簡易宿所,,,高島,5627924.pdf
旅館業,Ｗｏｒｋａｔｉｏｎ Ｖｉｌｌａ ｔａｋａｓｈｉｍａ,520-1121,高島市勝野,高島市勝野５００番地１２,５００番地１２,,株式会社ＬＤＫプロジェクト,R08/03/19,簡易宿所,,,高島,5627924.pdf
旅館業,ＲＳ ＧＬＡＭＰＩＮＧ,520-1604,高島市今津町浜分,高島市今津町浜分３８－１１,３８－１１,050-3529-6508,株式会社リアンベース,R08/04/13,簡易宿所,,,高島,5627924.pdf
旅館業,奥琵琶湖マキノグランドパークホテル,520-1812,高島市マキノ町西浜,高島市マキノ町西浜７６３番２,７６３番２,0740-28-1111,株式会社マックアース,R08/04/01,旅館・ホテル,,,高島,5627924.pdf
旅館業,マキノサニーステイ,520-1813,高島市マキノ町高木浜 一丁目,高島市マキノ町高木浜 一丁目５－５ マキノサニービル２階,５－５ マキノサニービル２階,,株式会社穂なみ,R08/06/25,簡易宿所,,,高島,5627924.pdf
旅館業,安曇川荘,520-1401,高島市朽木市場,高島市朽木市場５５２番地,５５２番地,0740-38-2559,上田 統久,R08/03/30,簡易宿所,,,高島,5627924.pdf
旅館業,Ｆｒｉｅｎｄｓ びわ湖,520-1604,高島市今津町浜分,高島市今津町浜分４７－８２,４７－８２,,新地 恵子,R08/04/27,簡易宿所,,,高島,5627924.pdf
旅館業,美加久,520-1836,高島市マキノ町牧野,高島市マキノ町牧野２２９,２２９,0740-27-0654,青谷 実,R08/04/10,簡易宿所,,,高島,5627924.pdf
旅館業,ＰＯＬＡＲＩＳ,520-1837,高島市マキノ町白谷,高島市マキノ町白谷２７１－１,２７１－１,0740-27-0056,株式会社ゼンゾー,R08/05/29,簡易宿所,,,高島,5627924.pdf
旅館業,きのこの館 みのりの館,520-1601,高島市今津町深清水,高島市今津町深清水２４０５－１,２４０５－１,0740-22-6868,公益財団法人ひばり,R08/04/27,簡易宿所,,,高島,5627924.pdf
旅館業,Ｇａｌａｘｙ Ｓｔａｒｄｕｓｔ ２,520-1223,高島市安曇川町下小川,高島市安曇川町下小川２２４９番地２２,２２４９番地２２,0740-20-5760,日本大同投資株式会社,R08/05/28,簡易宿所,,,高島,5627924.pdf
旅館業,Ｇａｌａｘｙ Ｓｔａｒｄｕｓｔ ３,520-1223,高島市安曇川町下小川,高島市安曇川町下小川２２４９番地２３,２２４９番地２３,0740-22-5760,日本大同投資株式会社,R08/05/28,簡易宿所,,,高島,5627924.pdf
旅館業,柃舞庵,520-1502,高島市新旭町針江,高島市新旭町針江１４３２－２５２,１４３２－２５２,,株式会社アドバンスホーム,R08/05/29,簡易宿所,,,高島,5627924.pdf
旅館業,ＬＡＫＥ ＳＡＵＮＡ ＲＥＳＯＲＴ ｔａｋａｓｈｉｍａ ＳＵＩＴＥ ＶＩＬＬＡ 碧,520-1121,高島市勝野,高島市勝野５００番地９,５００番地９,050-3612-7647,株式会社ＬＤＫプロジェクト,R08/07/27,簡易宿所,,,高島,5627924.pdf
旅館業,１０８８,520-1601,高島市今津町深清水,高島市今津町深清水１０８８,１０８８,,渡辺 やよい,R08/06/23,簡易宿所,,,高島,5627924.pdf
旅館業,ちいさなリトリート琵琶湖,520-1502,高島市新旭町針江,高島市新旭町針江２－１１０,２－１１０,,株式会社Ｊ－ＳＰＯＲＴＳ,R08/07/16,簡易宿所,,,高島,5627924.pdf
公衆浴場,ＳＩＧＮＡＬ,524-0201,野洲市吉川,野洲市吉川３３２６－１,３３２６－１,077-589-5725,蔵本 亮,R07/09/04,私営・サウナ,,,草津,5627926.pdf
公衆浴場,栗東市立自然体験学習センター,520-3002,栗東市観音寺,栗東市観音寺４５９－２０,４５９－２０,077-558-3777,栗東市,R07/11/27,公営・その他,,,草津,5627926.pdf
公衆浴場,Ｇパーク信楽ゴルフ倶楽部,529-1821,甲賀市信楽町多羅尾,甲賀市信楽町多羅尾１５７７,１５７７,0748-85-0341,株式会社ジービーエス,H10/12/28,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,オーパスフィットネスクラブ水口,528-0058,甲賀市水口町北泉二丁 目,甲賀市水口町北泉二丁 目３５,３５,0748-63-7777,株式会社オーパス,H14/10/29,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,オレンジ・シガカントリークラブハウス,529-1801,甲賀市信楽町宮町,甲賀市信楽町宮町１０００,１０００,83-0111,オレンジシガ株式会社,S59/07/20,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,コムウッドゴルフクラブ,520-3415,甲賀市甲賀町大原上田,甲賀市甲賀町大原上田１１１,１１１,0748-88-3388,ダイワロイヤルゴルフ株式会 社,H19/03/30,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,ザ・カントリークラブ,529-1803,甲賀市信楽町牧,甲賀市信楽町牧１７８２－２,１７８２－２,83-8000,リゾートトラストゴルフ事業 株式会社,H06/07/13,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,センチュリー・シガ・ゴルフクラブ,520-3302,甲賀市甲南町池田,甲賀市甲南町池田２１１８,２１１８,86-4011,リクレスト株式会社,S60/06/13,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,ダイヤモンド滋賀（アクア）,528-0208,甲賀市土山町黒川,甲賀市土山町黒川１７１１,１７１１,0748-68-0400,株式会社ダイヤモンドソサエ ティ,H16/03/29,私営・サウナ,,,甲賀,5627926.pdf
公衆浴場,ダイヤモンド滋賀（ゴルフ）,528-0208,甲賀市土山町黒川,甲賀市土山町黒川１７１１,１７１１,0748-68-0400,株式会社ダイヤモンドソサエ ティ,H16/03/29,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,ダイヤモンド滋賀温浴棟,528-0208,甲賀市土山町黒川,甲賀市土山町黒川１７１１,１７１１,0748-68-0211,株式会社ダイヤモンドソサエ ティ,H20/04/22,私営・その他,,,甲賀,5627926.pdf
公衆浴場,タラオカントリークラブ,529-1821,甲賀市信楽町多羅尾,甲賀市信楽町多羅尾５７,５７,85-0315,株式会社三栄開発,S61/06/24,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,タラオレイクヴィラ 信楽温泉 多羅尾乃湯,529-1821,甲賀市信楽町多羅尾,甲賀市信楽町多羅尾１番地,１番地,0748-85-0250,株式会社三栄開発,H13/04/23,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,ベアズパウジャパンカントリークラブ,528-0065,甲賀市水口町春日,甲賀市水口町春日１４６番地,１４６番地,0748-65-2552,株式会社春日ゴルフ,H12/12/28,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,Ｔｈｅｒａｐｙ ｚｏｎｅ Ｇｒａｎｄ Ｂｌｕｅ,520-3015,栗東市安養寺七丁目,栗東市安養寺七丁目１－１８エステートビル１Ｆ,１－１８エステートビル１Ｆ,077-551-5430,有限会社碧 ＢＬＵＥ,H17/08/04,私営・その他,,,草津,5627926.pdf
公衆浴場,グンゼスポーツクラブ 南草津店,525-0050,草津市南草津二丁目,草津市南草津二丁目５－６,５－６,077-566-5101,グンゼスポーツ株式会社,H20/03/24,私営・その他,,,草津,5627926.pdf
公衆浴場,ゴールドジム栗東滋賀,520-3031,栗東市綣二丁目,栗東市綣二丁目４－５ ウイングプラザ３Ｆ,４－５ ウイングプラザ３Ｆ,077-554-2255,株式会社ＴＨＩＮＫフィット ネス,H18/04/28,私営・その他,,,草津,5627926.pdf
公衆浴場,ザ・ウェルネス健康トレーニングセンター,520-3015,栗東市安養寺一丁目,栗東市安養寺一丁目２－２２,２－２２,,株式会社栗東会館,S61/01/31,私営・サウナ,,,草津,5627926.pdf
公衆浴場,ジャパンエースゴルフ倶楽部,520-3011,栗東市下戸山,栗東市下戸山５００,５００,,株式会社アヤハゴルフリンク ス,S60/03/19,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,なごみの郷,525-0005,草津市志那町,草津市志那町２５５２ 他６筆,２５５２ 他６筆,,草津市,H13/03/30,公営・ヘルス,,,草津,5627926.pdf
公衆浴場,ポイントバケーション近江びわ湖,525-0061,草津市北山田町,草津市北山田町５６０,５６０,077-561-0061,株式会社リロバケーションズ,R07/04/07,私営・その他,,,草津,5627926.pdf
公衆浴場,ビバスポーツアカデミー南草津店,525-0055,草津市野路一丁目,草津市野路一丁目１５－５ フェリエ６Ｆ,１５－５ フェリエ６Ｆ,077-566-8700,株式会社ビバ,H14/07/18,私営・その他,,,草津,5627926.pdf
公衆浴場,ぷかりランド元気倶楽部,524-0102,守山市水保町,守山市水保町１１７２－１,１１７２－１,,株式会社ベルデクラブ,H04/03/31,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,プライベート岩盤浴 癒らら,520-2352,野洲市冨波乙,野洲市冨波乙７９８－５,７９８－５,077-586-2344,北田 直子,H19/04/27,私営・その他,,,草津,5627926.pdf
公衆浴場,ヤマコー・スーパーセントー,525-0071,草津市南笠東三丁目,草津市南笠東三丁目１６－１２,１６－１２,,株式会社山幸製作所,H09/10/31,私営・その他,,,草津,5627926.pdf
公衆浴場,ゆめ郷,524-0101,守山市今浜町,守山市今浜町２５３２－５,２５３２－５,077-584-3790,株式会社袋布向春園本店,H17/12/09,私営・その他,,,草津,5627926.pdf
公衆浴場,伽羅ガーデンスクエア,525-0032,草津市大路二丁目,草津市大路二丁目１－２７,１－２７,077-566-2698,伊藤忠アーバンコミュニティ 株式会社,H20/01/04,私営・その他,,,草津,5627926.pdf
公衆浴場,岩盤浴 栗東,520-3005,栗東市御園,栗東市御園１９５８番地,１９５８番地,077-558-1002,株式会社愉々,H18/07/21,私営・その他,,,草津,5627926.pdf
公衆浴場,岩盤浴 石の癒 南草津店,525-0055,草津市野路一丁目,草津市野路一丁目１７番２号フェリエ南草津４Ｆ,１７番２号フェリエ南草津４Ｆ,077-564-1419,武田 直美,H17/03/31,私営・その他,,,草津,5627926.pdf
公衆浴場,栗東市総合福祉保健センター,520-3015,栗東市安養寺,栗東市安養寺１９０,１９０,077-552-0500,栗東市,H16/08/21,公営・その他,,,草津,5627926.pdf
公衆浴場,栗東市立ひだまりの家,520-3036,栗東市十里,栗東市十里３９９－３,３９９－３,077-552-1000,栗東市,H16/07/12,公営・ヘルス,,,草津,5627926.pdf
公衆浴場,栗東市やすらぎの家,520-3041,栗東市出庭,栗東市出庭７００－１,７００－１,077-554-0606,栗東市,H05/04/12,公営・ヘルス,,,草津,5627926.pdf
公衆浴場,栗東市ゆうあいの家,520-3024,栗東市小柿一丁目,栗東市小柿一丁目１０番１０号,１０番１０号,077-554-1004,栗東市,H09/04/15,公営・ヘルス,,,草津,5627926.pdf
公衆浴場,桜湯,525-0032,草津市大路一丁目,草津市大路一丁目１６－６,１６－６,,木村 みち子,S54/09/07,私営・一般,,,草津,5627926.pdf
公衆浴場,琵琶湖マリオットホテル,524-0101,守山市今浜町,守山市今浜町十軒家２８７６番地,十軒家２８７６番地,077-585-6100,森トラスト・ホテルズ＆リ ゾーツ株式会社,H26/01/22,私営・その他,,,草津,5627926.pdf
公衆浴場,草津市立長寿の郷 ロクハ荘,525-0046,草津市追分町,草津市追分町６２４－２,６２４－２,63-1234,草津市,H06/09/09,公営・ヘルス,,,草津,5627926.pdf
公衆浴場,琵琶湖カントリークラブ,520-3005,栗東市御園,栗東市御園５１３,５１３,,ヤンマーコーポレーション株 式会社,S60/03/19,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,夢の癒し草津駅前店,525-0032,草津市大路一丁目,草津市大路一丁目１６－３０,１６－３０,077-567-0184,有限会社湖南建行,H17/12/26,私営・その他,,,草津,5627926.pdf
公衆浴場,野洲市老人福祉センター浴場,520-2331,野洲市小篠原,野洲市小篠原１９６５－４,１９６５－４,588-2940,野洲市,H17/11/21,公営・その他,,,草津,5627926.pdf
公衆浴場,癒らぎ,524-0037,守山市梅田町,守山市梅田町５－６ 平和堂守山店２Ｆ,５－６ 平和堂守山店２Ｆ,077-582-5006,石田 清浩,H19/04/13,私営・その他,,,草津,5627926.pdf
公衆浴場,守山天然温泉 ほたるの湯,524-0021,守山市吉身四丁目,守山市吉身四丁目５－２０,５－２０,077-514-0591,有限会社ビージェイホール ディングス,H21/10/21,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,草津湯元 水春,525-0067,草津市新浜町,草津市新浜町３８０,３８０,077-516-1126,株式会社ビーバーレコード,H22/04/22,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,琵琶湖レークサイドゴルフコース クラブハウス,524-0104,守山市木浜町,守山市木浜町２３００,２３００,077-585-1321,株式会社アヤハゴルフリンク ス,H23/06/28,私営・その他,,,草津,5627926.pdf
公衆浴場,たかの友梨 ビューティクリニック 草津店,525-0026,草津市渋川一丁目,草津市渋川一丁目１－５０ 近鉄百貨店３階,１－５０ 近鉄百貨店３階,077-564-4145,株式会社不二ビューティ,H23/06/13,私営・サウナ,,,草津,5627926.pdf
公衆浴場,ｆａｎ－ｄｉｉ,525-0055,草津市野路町,草津市野路町６８６ 1階,６８６ 1階,077-566-3811,坂口 曜子,H23/04/22,私営・その他,,,草津,5627926.pdf
公衆浴場,ホリデイスポーツクラブ草津,525-0027,草津市野村四丁目,草津市野村四丁目3-11,3-11,077-566-5100,株式会社東祥,H25/09/06,私営・その他,,,草津,5627926.pdf
公衆浴場,琵琶湖アーバンリゾート管理棟 クアハウス,524-0101,守山市今浜町,守山市今浜町七番２６２０－１００,七番２６２０－１００,077-585-6385,琵琶湖アーバンリゾート管理 棟施設団地管理組合法人,H28/01/19,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,スポーツクラブＩＺＵＭＩ２１,524-0041,守山市勝部一丁目,守山市勝部一丁目１－１７ 守山駅前近江鉄道ビ ル３階,１－１７ 守山駅前近江鉄道ビ ル３階,077-581-2800,株式会社いずみ二一,H29/11/22,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,酵素風呂 穂のしずく,525-0027,草津市野村六丁目,草津市野村六丁目６－４,６－４,,小寺 奈穂,H30/07/17,私営・その他,,,草津,5627926.pdf
公衆浴場,守山湯元水春ピエリ守山,524-0101,守山市今浜町,守山市今浜町２６２０－５,２６２０－５,077-599-1126,株式会社ビーバーレコード,H31/02/21,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,環境学習都市宣言記念公園交流拠点施設,-,守山市,守山市環境学習都市宣言記念公園１－ １,環境学習都市宣言記念公園１－ １,,守山市,R03/04/09,公営・ヘルス,,,草津,5627926.pdf
公衆浴場,酵素浴＆ＣＡＦＥ ＨＡＫＵ,524-0102,守山市水保町,守山市水保町１１６８－１,１１６８－１,,株式会社Ｏｎ,R01/09/05,私営・その他,,,草津,5627926.pdf
公衆浴場,野洲市健康スポーツセンター,520-2313,野洲市大篠原,野洲市大篠原３３３３－６,３３３３－６,077-596-5964,野洲すいむ8NEXT－PFI株式会 社,R02/07/02,私営・ヘルス,,,草津,5627926.pdf
公衆浴場,酵素温浴 Ｍａ ｂｅｌｌｅ,520-3035,栗東市霊仙寺六丁目,栗東市霊仙寺六丁目７－３０,７－３０,077-599-0693,マハロ不動産株式会社,R04/05/23,私営・その他,,,草津,5627926.pdf
公衆浴場,ゴールドジム草津滋賀,525-0037,草津市西大路町,草津市西大路町４－３２ クサツウエストロイ ヤルタワー３階,４－３２ クサツウエストロイ ヤルタワー３階,077-566-8866,株式会社ＴＨＩＮＫフィット ネス,R04/06/29,私営・その他,,,草津,5627926.pdf
公衆浴場,ＹＡＮＭＡＲ ＳＵＮＳＥＴ ＭＡＲＩＮＡ ＣＬ ＵＢＨＯＵＳＥ＆ＨＯＴＥＬ,524-0102,守山市水保町,守山市水保町１３８０,１３８０,077-585-1212,ヤンマーコーポレーション株 式会社,R05/07/28,私営・その他,,,草津,5627926.pdf
公衆浴場,栗東市立森林体験交流センター,520-3002,栗東市観音寺,栗東市観音寺５３７－１,５３７－１,077-558-0600,栗東市,R07/04/07,公営・その他,,,草津,5627926.pdf
公衆浴場,立命館大学 エポック立命２１,525-0058,草津市野路東一丁目,草津市野路東一丁目１－１ 立命館大学びわこ・く さつキャンパス内,１－１ 立命館大学びわこ・く さつキャンパス内,077-561-5918,学校法人立命館,R07/04/10,私営・その他,,,草津,5627926.pdf
公衆浴場,メイプルヒルズゴルフ倶楽部,529-1814,甲賀市信楽町田代,甲賀市信楽町田代６５,６５,82-3800,大平開発株式会社,H07/03/06,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,株式会社富士スタジアムゴルフ倶楽部,520-3423,甲賀市甲賀町五反田,甲賀市甲賀町五反田５７４,５７４,88-6600,株式会社富士スタジアムゴル フ倶楽部,H08/06/28,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,宮乃温泉,520-3314,甲賀市甲南町杉谷,甲賀市甲南町杉谷３６４－１,３６４－１,0748-86-2212,寺井喜志雄,H16/09/10,私営・その他,,,甲賀,5627926.pdf
公衆浴場,近江カントリー倶楽部,520-3242,湖南市菩提寺,湖南市菩提寺１４１０,１４１０,74-0121,近江興産株式会社,S60/05/25,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,湖南市石部老人福祉センター内 なごみの湯,520-3106,湖南市石部中央一丁目,湖南市石部中央一丁目１番６号,１番６号,77-5045,湖南市,H08/07/05,公営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,甲賀カントリー倶楽部,520-3221,湖南市三雲,湖南市三雲３３５４,３３５４,72-1221,日本観光開発株式会社,S60/06/13,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,滋賀カントリー倶楽部,529-1841,甲賀市信楽町上朝宮,甲賀市信楽町上朝宮１２２４－３,１２２４－３,,株式会社滋賀カントリー倶楽 部,S60/05/25,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,滋賀ゴルフ倶楽部,528-0004,甲賀市水口町嶬峨,甲賀市水口町嶬峨１１１５番地１,１１１５番地１,62-0030,PGMプロパティーズ株式会社,S60/05/25,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,滋賀甲南カントリークラブ,520-3301,甲賀市甲南町寺庄,甲賀市甲南町寺庄１５１,１５１,86-5577,滋賀県観光開発株式会社,H08/06/28,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,小川亭,529-1835,甲賀市信楽町長野,甲賀市信楽町長野８７６番地,８７６番地,0748-82-0008,有限会社小川亭,H17/04/22,私営・その他,,,甲賀,5627926.pdf
公衆浴場,信楽カントリー倶楽部 田代コース,529-1814,甲賀市信楽町田代,甲賀市信楽町田代７６３,７６３,82-3071,信和ゴルフ株式会社,S60/05/25,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,清水湯,528-0031,甲賀市水口町本町二丁 目,甲賀市水口町本町二丁 目５－１０,５－１０,62-2666,津田 清一,S56/08/31,私営・一般,,,甲賀,5627926.pdf
公衆浴場,双鈴ゴルフクラブ 土山コース,528-0212,甲賀市土山町南土山,甲賀市土山町南土山１１１８,１１１８,0748-66-1611,アコーディア・ゴルフ・ア セット合同会社,H18/07/28,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,大甲賀カントリークラブ神コース,520-3411,甲賀市甲賀町神,甲賀市甲賀町神１９４０,１９４０,88-5678,大場商事株式会社,S60/06/13,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,大甲賀カントリークラブ油日コース,520-3413,甲賀市甲賀町油日,甲賀市甲賀町油日１６９５,１６９５,88-2511,大場商事株式会社,H08/10/16,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,富士スタジアムゴルフ倶楽部 北コース クラブハ ウス,520-3422,甲賀市甲賀町和田,甲賀市甲賀町和田７０２－２,７０２－２,0748-88-6565,株式会社富士スタジアムゴル フ倶楽部,H10/10/06,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,名神栗東カントリー倶楽部,528-0233,甲賀市土山町市場,甲賀市土山町市場９９１,９９１,67-0335,京滋観光開発株式会社,H02/03/01,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,名神竜王カントリー倶楽部,528-0065,甲賀市水口町春日,甲賀市水口町春日１６１６,１６１６,62-4387,東神商事株式会社,H06/02/02,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,デイリー信楽カントリー倶楽部,529-1821,甲賀市信楽町多羅尾,甲賀市信楽町多羅尾１５７７,１５７７,0748-85-8020,株式会社デイリー社,H21/04/20,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,ヒーリングストーンスパ 美の癒し 水口店,528-0032,甲賀市水口町八坂,甲賀市水口町八坂８－４０,８－４０,0748-65-3744,大野 梨香,H22/02/15,私営・その他,,,甲賀,5627926.pdf
公衆浴場,玉桂寺健康センター,529-1804,甲賀市信楽町勅旨,甲賀市信楽町勅旨８９１,８９１,0748-83-1515,密山 治子,H22/03/25,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,十二坊温泉ゆらら（浴場）,520-3252,湖南市岩根,湖南市岩根６７８番地２８,６７８番地２８,0748-72-8211,湖南市,H22/08/10,公営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,水口温泉 つばきの湯,528-0005,甲賀市水口町水口,甲賀市水口町水口５５７２,５５７２,0748-65-1126,朝陽物産株式会社,H24/03/29,私営・その他,,,甲賀,5627926.pdf
公衆浴場,大河原温泉かもしか荘（あいの土山都市との交流セ ンター),528-0201,甲賀市土山町大河原,甲賀市土山町大河原１１０４,１１０４,0748-69-0344,甲賀市,H25/07/18,公営・その他,,,甲賀,5627926.pdf
公衆浴場,朝宮ゴルフコース,529-1841,甲賀市信楽町上朝宮,甲賀市信楽町上朝宮１－１,１－１,0748-84-8080,株式会社アコーディア・ゴル フ,H27/10/01,私営・その他,,,甲賀,5627926.pdf
公衆浴場,碧水の湯 アクア,528-0057,甲賀市水口町北脇,甲賀市水口町北脇２３７－８,２３７－８,0748-63-3210,株式会社ＪＫＣコーポレー ション,H28/12/19,私営・ヘルス,,,甲賀,5627926.pdf
公衆浴場,ローズゴルフクラブ,529-1851,甲賀市信楽町長野,甲賀市信楽町長野１５３２－２,１５３２－２,0748-83-0031,サーガ株式会社,H30/10/01,私営・その他,,,甲賀,5627926.pdf
公衆浴場,信楽カントリー倶楽部 杉山コース,529-1813,甲賀市信楽町畑,甲賀市信楽町畑５５－１,５５－１,0748-82-3711,信和ゴルフ株式会社,H31/03/27,私営・その他,,,甲賀,5627926.pdf
公衆浴場,ＫＡＭＯＳＨＩＫＡ ＥＸ,528-0201,甲賀市土山町大河原,甲賀市土山町大河原１５２９－１,１５２９－１,,株式会社かもしかリゾート,R04/09/20,私営・サウナ,,,甲賀,5627926.pdf
公衆浴場,ＭＩＸＮＡＴＵＲＥ,529-1802,甲賀市信楽町黄瀬,甲賀市信楽町黄瀬４２４－１,４２４－１,,田村 健一,R06/01/19,私営・サウナ,,,甲賀,5627926.pdf
公衆浴場,ハイパーフィットウェルネス２４ 水口店,528-0035,甲賀市水口町名坂,甲賀市水口町名坂８３８,８３８,0748-65-2077,株式会社サンミュージック,R07/06/23,私営・サウナ,,,甲賀,5627926.pdf
公衆浴場,Ｐｕｒｅｌａ,523-0893,近江八幡市桜宮町,近江八幡市桜宮町２０２－１ アルプラザ近江八 幡店２階,２０２－１ アルプラザ近江八 幡店２階,0748-33-1166,石田 清浩,H19/06/01,私営・その他,,,東近江,5627926.pdf
公衆浴場,ＳＬＯＷ ＴＩＭＥ,523-0894,近江八幡市中村町,近江八幡市中村町２０－１５ キャッスルビル３ 階,２０－１５ キャッスルビル３ 階,0748-34-4285,長﨑 雄樹,H20/04/08,私営・その他,,,東近江,5627926.pdf
公衆浴場,ストーンスパ 玉の癒,523-0031,近江八幡市堀上町,近江八幡市堀上町２１７－１,２１７－１,0748-32-0881,森山 清一,H18/11/01,私営・その他,,,東近江,5627926.pdf
公衆浴場,だいちの恵,523-0043,近江八幡市池田本町,近江八幡市池田本町１１０１－８,１１０１－８,0748-36-5401,原 健二,H18/10/27,私営・その他,,,東近江,5627926.pdf
